model_id,total_params_b,active_params_b,is_moe,notes
inclusionAI/Ling-1T-FP8,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ring-1T,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ring-1T-FP8,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ring-1T-preview,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ring-1T-preview-FP8,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/M2-Reasoning,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ming-Lite-Omni,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ming-Lite-Omni-1.5,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Ming-Lite-Uni,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/Rubicon-Preview,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
inclusionAI/ViLaSR,7,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
allenai/OLMo-Ladder-760M-0.5xC,0.76,,,Legacy data; not recently reviewed. allenai
allenai/FlexOlmo-7x7B-1T,49,,,"Legacy data; not recently reviewed. allenai; MoE, 7x7B"
microsoft/Florence-2-base,0.2,,,Legacy data; not recently reviewed. Microsoft Florence-2
microsoft/Florence-2-base-ft,0.2,,,Legacy data; not recently reviewed. Microsoft Florence-2
microsoft/Florence-2-large,0.8,,,Legacy data; not recently reviewed. Microsoft Florence-2
microsoft/Florence-2-large-ft,0.8,,,Legacy data; not recently reviewed. Microsoft Florence-2
Qwen/Qwen1.5-MoE-A2.7B,14.3,2.7,,"Legacy data; not recently reviewed. Qwen MoE; MoE, 2.7B active"
Qwen/Qwen1.5-MoE-A2.7B-Chat,14.3,,,Legacy data; not recently reviewed. Qwen MoE
XiaomiMiMo/MiMo-V2-Flash,310,,,Legacy data; not recently reviewed. XiaomiMiMo (MoE) - 310B total
XiaomiMiMo/MiMo-V2-Flash-Base,310,,,Legacy data; not recently reviewed. XiaomiMiMo (MoE) - 310B total
vikhyatk/moondream1,1.9,,,Legacy data; not recently reviewed. vikhyatk / moondream
vikhyatk/moondream2,1.9,,,Legacy data; not recently reviewed. vikhyatk / moondream
moondream/moondream3-preview,9.3,,,Legacy data; not recently reviewed. vikhyatk / moondream
rednote-hilab/dots.ocr,3,,,Legacy data; not recently reviewed. rednote-hilab
llava-hf/bakLlava-v1-hf,7,,,Legacy data; not recently reviewed. llava-hf
Qwen/Qwen3.5-397B-A17B,397,17,true,
google/gemma-4-26B-A4B-it,25.2,3.8,true,Checkpoint name rounds 25.2B/3.8B to 26B/A4B.
mistralai/Mistral-Small-4-119B-2603,119,6.5,true,
CohereLabs/command-a-plus-05-2026-bf16,218,25,true,
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,550,55,true,
zai-org/GLM-5,744,40,true,
stepfun-ai/Step-3.5-Flash,196.81,11,true,Active parameter count is approximately 11B.
Qwen/Qwen3-Coder-480B-A35B-Instruct,480,35,true,
moonshotai/Kimi-K2.6,1000,32,true,
Qwen/Qwen3-235B-A22B-Instruct-2507,235,22,true,
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,30,3.5,true,Checkpoint name's A3B is shorthand for 3.5B.
mistralai/Mistral-Small-24B-Instruct-2501,24,,false,
mistralai/Mistral-Small-3.1-24B-Instruct-2503,24,,false,
google/gemma-3-27b-it,27,,false,
